hindi,phon
प्रतिलंभ, p r a t i - l a m bh
प्रतिलिपि, p r a t i - l i p i
प्रतिलोम, p r a t i - l o m
प्रतिवचन, p r a t i - v a c a n
प्रतिवर्ष, p r a t i - v a r sh
प्रतिवाक्य, p r a t i - v aa k y @
प्रतिवाद, p r a t i - v aa d
प्रतिवादी, p r a t i - v aa d ii
प्रतिवासी, p r a t i - v aa s ii
प्रतिविधि, p r a t i - v i - dh i
प्रतिवेदन, p r a t i - v e d a n
प्रतिवेदित, p r a t i - v e d i t
प्रतिशंका, p r a t i - sh a ~ k aa
प्रतिशत, p r a t i - sh a t
प्रतिशतता, p r a t i - sh a t @ t aa
प्रतिशब्द, p r a t i - sh a b d
प्रतिशाखा, p r a t i - sh aa kh aa
प्रतिशोध, p r a t i - sh o dh
प्रतिशोधन, p r a t i - sh o dh a n
प्रतिश्याय, p r a t i - sh y aa y
प्रतिश्रुत, p r a t i - sh r u t
प्रतिश्रुति, p r a t i - sh r u t i
प्रतिषिद्ध, p r a t i - sh i d dh
प्रतिषेध, p r a t i - sh e dh
प्रतिष्ठ, p r a t i - sh tth
प्रतिष्ठा, p r a t i - sh tth aa
प्रतिष्ठान, p r a t i - sh tth aa n
प्रतिष्ठापन, p r a t i - sh tth aa p a n
प्रतिष्ठापित, p r a t i - sh tth aa p i t
प्रतिष्ठित, p r a t i - sh tth i t
प्रतिसर्ग, p r a t i - s a r g
प्रतिस्पर्धा, p r a t i - s p a r dh aa
प्रतिस्पर्धी, p r a t i - s p a r dh ii
प्रतिहत, p r a t i - h a t
प्रतिहति, p r a t i - h a t i
प्रतिहार, p r a t i - h aa r
प्रतिहारी, p r a t i - h aa r ii
प्रतिहिंसक, p r a t i - h i n s a k
प्रतिहिंसा, p r a t i - h i n s aa
प्रतिहिंसित, p r a t i - h i n s i t
प्रतीक, p r a t ii k
प्रतीकार, p r a t ii k aa r
प्रतीक्षा, p r a t ii k sh aa
प्रतीक्षित, p r a t ii k sh i t
प्रतीक्षी, p r a t ii k sh ii
प्रतीक्ष्य, p r a t ii k sh y @
प्रतीची, p r a t ii c ii
प्रतीच्य, p r a t ii c y @
प्रतीत, p r a t ii t
प्रतीति, p r a t ii t i
प्रतीप, p r a t ii p
प्रतीयमान, p r a t ii y a m aa n
प्रतीर, p r a - t ii r
प्रत्यंग, p r a t y - a n g
प्रत्यंचा, p r a t y - a n c aa
प्रत्यक, p r a t y a k
प्रत्यक्ष, p r a t y - a k sh
प्रत्यक्षतया, p r a t y - a k sh @ t a y aa
प्रत्यक्षी, p r a t y - a k sh ii
प्रत्यक्षीकरण, p r a t y - a k sh ii k a r a n
प्रत्यनंतर, p r a t y - a n - a n t a r
प्रत्यभिजेय, p r a t y - a bh i - g y e y @
प्रत्यभियोग, p r a t y - a bh i - y o g
प्रत्यय, p r a t y - a y
प्रत्ययित, p r a t y - a y i t
प्रत्ययी, p r a t y - a y ii
प्रत्यर्थी, p r a t y - a r th ii
प्रत्यर्पण, p r a t y - a r p a n
प्रत्यवाय, p r a t y - a v aa y
प्रत्यहं, p r a t y - a h a ~
प्रत्याक्रमण, p r a t y - aa - k r a m a n
प्रत्यागत, p r a t y - aa - g a t
प्रत्यागमन, p r a t y - aa - g a m a n
प्रत्यादिष्ट, p r a t y - aa - d i sh tt
प्रत्यादेश, p r a t y - aa - d e sh
प्रत्याभूत, p r a t y - aa - bh uu t
प्रत्यायोजित, p r a t y - aa - y o j i t
प्रत्यावर्तन, p r a t y - aa - v a r t a n
प्रत्याशा, p r a t y - aa sh aa
प्रत्याशित, p r a t y - aa sh i t
प्रत्याशी, p r a t y - aa sh ii
प्रत्याहार, p r a t y - aa - h aa r
प्रत्याहुत, p r a t y - aa - h r i t
प्रत्युक्त, p r a t y - u k t
प्रत्युक्ति, p r a t y - u k t i
प्रत्युत, p r a t y - u t
प्रत्युत्तर, p r a t y - u t t a r
प्रत्युत्थान, p r a t y - u t - th aa n
प्रत्युत्पन्न, p r a t y - u t - p a n n
प्रत्युपकार, p r a t y - u p @ - k aa r
प्रत्युपकारी, p r a t y - u p @ - k aa r ii
प्रत्युष, p r a t y - u sh
प्रत्यूष, p r a t y - uu sh
प्रत्यूह, p r a t y - uu h
प्रत्येक, p r a t y - e k
प्रथम, p r a th a m
प्रथमता, p r a th a m @ t aa
प्रथमा, p r a th @ m aa
प्रथा, p r a th aa
प्रथित, p r a th i t
-प्रद, - p r a d
प्रदक्षिणा, p r a - d a k sh i n
प्रदक्षिणा, p r a - d a k sh i n aa
प्रदच्छिन, p r a - d a c ch i n
प्रदर, p r a - d a r
प्रदर्शक, p r a - d a r sh a k
प्रदर्शन, p r a - d a r sh a n
प्रदर्शनी, p r a - d a r sh @ n ii
प्रदर्शिका, p r a - d a r sh i k aa
प्रदर्शित, p r a - d a r sh i t
प्रदाता, p r a - d aa t aa
प्रदान, p r a - d aa n
प्रदाय, p r a - d aa y
-प्रदायी, - p r a - d aa y ii
प्रदिशा, p r a - d i sh aa
प्रदीप, p r a - d ii p
प्रदीपक, p r a - d ii p a k
प्रदीपन, p r a - d ii p a n
प्रदीपिका, p r a - d ii p i k aa
प्रदीप्त, p r a - d ii p t
प्रदीप्ति, p r a - d ii p t i
प्रदषण, p r a - d uu sh a n
प्रदेश, p r a - d e sh
प्रदेशन, p r a - d e sh a n
प्रदेशनी, p r a - d e sh @ n ii
प्रदेशित, p r a - d e sh i t
प्रदेशिनी, p r a - d e sh i n ii
प्रदेशीय, p r a - d e sh ii y @
प्रदेह, p r a - d e h
प्रदोष, p r a - d o sh
प्रधान, p r a - dh aa n
प्रधानता, p r a - dh aa n @ t aa
प्रध्वंस, p r a - dh v a n s
प्रध्वंसी, p r a - dh v a n s ii
प्रनव-, p r a n a v -
प्रनामी, p r a - n aa m ii
प्रपंच, p r a - p a n c
प्रपंचित, p r a - p a n c i t
प्रपंची, p r a - p a n c ii
प्रपितामह, p r a - p i t aa m @ h
प्रपितामही, p r a - p i t aa m @ h ii
प्रपुनाट, p r a p u n aa tt
प्रपुनाल, p r a p u n aa l
प्रपूर्ण, p r a - p uu r n
प्रपौत्र, p r a - p O t r
प्रपौत्री, p r a - p O t r ii
प्रफुला, p r a - ph u l aa
प्रफुलित, p r a - ph u l i t
प्रफुल्ल, p r a - ph u l l
प्रफुल्लता, p r a - ph u l l @ t aa
प्रफुल्लित, p r a - ph u l l i t
प्रबंध, p r a - b a n dh
प्रबंधक, p r a - b a n dh a k
प्रबंधन, p r a - b a n dh a n
प्रबंधी, p r a - b a n dh ii
प्रबल, p r a - b a l
प्रबलता, p r a - b a l @ t aa
प्रबलन, p r a - b a l a n
प्रबलित, p r a - b a l i t
प्रबलीकरण, p r a b a l ii k a r a n
प्रबुद्ध, p r a - b u d dh
प्रबोध, p r a - b o dh
प्रबोधक, p r a - b o dh a k
प्रबोधन, p r a - b o dh a n
प्रबोधना, p r a - b o dh n aa
प्रबोधित, p r a - b o dh i t
प्रभंजन, p r a - bh a n a n
प्रभव, p r a - bh a v
प्रभा, p r a - bh aa
प्रभात, p r a - bh aa t
प्रभाती, p r a - bh aa t ii
प्रभान, p r a - bh aa n
प्रभाव, p r a - bh aa v
प्रभावित, p r a - bh aa v i t
प्रभावी, p r a - bh aa v ii
प्रभु, p r a - bh u
प्रभुता, p r a - bh u t aa
प्रभुताई, p r a bh u t aa ii
प्रभुत्व, p r a - bh u t v @
प्रभूत, p r a - bh uu t
प्रभूतता, p r a - bh uu t @ t aa
प्रभूति, p r a - bh uu t i
प्रभृति, p r a - bh r i t i
प्रभेद, p r a - bh e d
प्रभेदक, p r a - bh e d a k
प्रभेदन, p r a - bh e d a n
प्रभेदी, p r a - bh e d ii
प्रमत्त, p r a - m a t t
प्रमत्तता, p r a - m a t t @ t aa
प्रमद, p r a - m a d
प्रमा, p r a - m aa
प्रमाण, p r a - m aa n
प्रमाणक, p r a - m aa n a k
प्रमाणित, p r a - m aa n i t
प्रमाणीकरण, p r a - m aa n ii k a r a n
प्रमातामह, p r a - m aa t aa m @ h
प्रमातामही, p r a - m aa t aa m @ h ii
प्रमाद, p r a - m aa d
प्रमादी, p r a - m aa d ii
प्रमित, p r a - m i t
प्रमितता, p r a - m i t @ t aa
प्रमिति, p r a - m i t i
प्रमुख, p r a - m u kh
प्रमुखता, p r a - m u kh @ t aa
प्रमुदित, p r a - m u d i t
प्रमेय, p r a - m e y
प्रमेह, p r a - m e h
प्रमोचक, p r a - m o c a k
प्रमोचन, p r a - m o c a n
प्रमोद, p r a - m o d
प्रमोदक, p r a - m o d a k
प्रमोदित, p r a - m o d i t
प्रमोदी, p r a - m o d ii
प्रमोह, p r a - m o h
प्रयत्न, p r a - y a t n
प्रयाग, p r a y aa g
प्रयाण, p r a - y aa n
प्रयास, p r a - y aa s
प्रयासी, p r a - y aa s ii
प्रयुक्त, p r a - y u k t
प्रयुक्ति, p r a - y u k t i
प्रयोक्ता, p r a - y o k t aa
प्रयोग, p r a - y o g
प्रयोगी, p r a - y o g ii
प्रयोजक, p r a - y o j a k
प्रयोजन, p r a - y o j a n
प्रयोजनिक, p r a - y o j @ n i k
प्रयोजनीय, p r a - y o j @ n ii y @
प्रयोजनीयता, p r a - y o j a n ii y @ t aa
प्रयोज्य, p r a - y o j y @
प्रलंब, p r a - l a m b
प्रलंबन, p r a - l a m b a n
प्रलय, p r a - l a y
प्रलयंकर, p r a - l a y a ~ k a r
प्रलाप, p r a - l aa p
प्रलापक, p r a - l aa p a k
प्रलापी, p r a - l aa p ii
प्रलेख, p r a - l e kh
प्रलेप, p r a - l e p
प्रलेपन, p r a - l e p a n
प्रलोठन, p r a - l o tth a n
प्रलोठित, p r a - l o tth i t
प्रलोभ, p r a - l o bh
प्रलोभन, p r a - l o bh a n
प्रलोभित, p r a - l o bh i t
प्रलोभी, p r a - l o bh ii
प्रवंचक, p r a - v a n c a k
प्रवंचना, p r a - v a n c @ n aa
प्रवंचित, p r a - v a n c i t
प्रवक्ता, p r a - v a k t aa
प्रवचन, p r a - v a c a n
प्रवचनीय, p r a - v a c @ n ii y @
प्रवणता, p r a - v a n @ t aa
प्रवर, p r a - v a r
प्रवर्तक, p r a - v a r t a k
प्रवर्तन, p r a - v a r t a n
प्रवर्तित, p r a - v a r t i t
प्रवर्षण, p r a - v a r sh a n
प्रवसन, p r a - v a s a n
प्रवह, p r a - v a h
प्रवहन, p r a - v a h a n
प्रवाचक, p r a - v aa c a k
प्रवाद, p r a - v aa d
प्रवारण, p r a - v aa r a n
प्रवारण, p r a - v aa r a n
प्रवाल, p r a - v aa l
प्रवास, p r a - v aa s
प्रवासन, p r a - v aa s a n
प्रवासित, p r a - v aa s i t
प्रवासी, p r a - v aa s ii
प्रवास्य, p r a - v aa s y @
प्रवाह, p r a - v aa h
प्रवाहक, p r a - v aa h a k
प्रवाहिका, p r a - v aa h i k aa
प्रवाहित, p r a - v aa h i t
प्रवाही, p r a - v aa h ii
प्रविख्यात, p r a - v i - kh y aa t
प्रविख्याति, p r a - v i - kh y aa t i
प्रविधि, p r a - v i - dh i
प्रविष्ट, p r a - v i sh tt
प्रविष्टि, p r a - v i sh tt i
प्रवीण, p r a - v ii n
प्रवीणता, p r a - v ii n @ t aa
प्रवीर, p r a - v ii r
प्रवृत्त, p r a - v r i t t
प्रवृत्ति, p r a - v r i t t i
प्रवेक्षण, p r a - v e k sh a n
प्रवेक्षित, p r a - v e k sh i t
प्रवेट, p r a - v e tt
प्रवेणी, p r a - v e n ii
प्रवेश, p r a - v e sh
प्रवेशक, p r a - v e sh a k
प्रवेशन, p r a - v e sh a n
प्रवेशिका, p r a - v e sh i k aa
प्रवेश्य, p r a - v e sh y @
प्रव्रजित, p r a - v r a j i t
प्रशंसक, p r a - sh a n s a k
प्रशंसन, p r a - sh a n s a n
प्रशंसनीय, p r a - sh a n s @ n ii y @
प्रशंसा, p r a - sh a n s aa
प्रशंसित, p r a - sh a n s i t
प्रशंसी, p r a - sh a n s ii
प्रशमन, p r a - sh a m a n
प्रशमित, p r a - sh a m i t
प्रशस्त, p r a - sh a s t
प्रशस्तता, p r a - sh a s t @ t aa
प्रशस्ति, p r a - sh a s t i
प्रशांत, p r a - sh aa n t
प्रशांति, p r a - sh aa n t i
प्रशाखा, p r a - sh aa kh aa
प्रशासक, p r a - sh aa s a k
प्रशासकीय, p r a - sh aa s @ k ii y @
प्रशासन, p r a - sh aa s a n
