punjabi,phon
ਕਾਂਗਡ਼ੇ,k aa ng g rr e
ਕਾਂਗਡ਼ੀ,k aa ng g rr ii
ਕਾਂਗਡ਼ੀ,k aa ng g rr ii
ਕੰਗਰੋਡ਼,k a ng g r o rr
ਕੰਗਰੂਡ਼,k a ng g r uu rr
ਕੰਗੁਰਾ,k a ng g u r aa
ਕੰਗੂਰਾ,k a nn g uu r aa
ਕਾਂਹ,k aa ng h
ਕਾਨ੍ਹ,k aa n h
ਕਾਨ੍ਹਾ,k aa n h aa
ਕਾਣ੍ਹਾ,k aa nn h aa
ਕਾਣ੍ਹਾਂ,k aa nn h aa ng
ਕਨ੍ਹਈਆ,k a n h a ii aa
ਕਨ੍ਹੇਡ਼ਾ,k a n h e rr aa
ਕਨ੍ਹੇਡ਼ੀ,k a n h e rr ii
ਕਾਣਹੀ,k aa nn h ii
ਕਾਣ੍ਹੀਂ,k aa nn h ii ng
ਕਾਂਹਲਾ,k a ng h l aa
ਕਣੀ,k a nn ii
ਕਾਨੀ,k aa n ii
ਕਾਨੀਂ,k aa n i ng
ਕਨਿਆਉਣਾ,k a n i aa u nn aa
ਕਾਂਇਫਲ,k aa ng i ph a l
ਕਾਂਇਸ,k aa ng i s
ਕਨਿਸ਼ਟ,k a n i sh tt
ਕਾਂਇਥ,k aa ng i th
ਕਾਇਥੀ,k a ng i th ii
ਕਾਂਇਥਿਆਣੀ,k aa ng i th i aa nn ii
ਕਾਂਇਥਿਯਾਣੀ,k aa ng i th i y aa nn ii
ਕਾਂਥਣੀ,k aa ng th nn ii
ਕੰਜ,k a ng j
ਕੰਜਾ,k a ng j aa
ਕੰਜਕ,k a ng j a k
ਕੰਜਕਾ,k a ng j a k aa
ਕੰਜਲੀ,k a ng j a l ii
ਕਾਂਜਣ,k aa ng j a nn
ਕੰਜਰ,k a ng j a r
ਕੰਜਰੀ,k a ng j a r ii
ਕੰਝਾਨ,k a ng jh aa n
ਕੰਜੀ,k a ng j ii
ਕੰਜਕਣੀ,k a ng j k a nn ii
ਕੰਜਰਊ,k a ng j r a uu
ਕਾਨਜੂਨ,k aa n j uu n
ਕੰਜੂਸ,k a ng j uu s
ਕੰਜੂਸਣ,k a ng j uu s a nn
ਕੰਜੂਸਣੀ,k a ng j uu s a nn ii
ਕੰਜੂਸੀ,k a ng j uu s ii
ਕਨਕ,k a n k
ਕੰਕਰ,k a ng k a r
ਕੰਕਰੀ,k a ng k a r ii
ਕੰਕਰੀਟ,k a ng k a r ii tt
ਕਾਂਕਿ,k aa ng k i
ਕਨਕੋਇਲ,k a n k o i l
ਕਨਕੋਇਰ,k a n k o i r
ਕਨਕੂਤ,k a n k uu t
ਕਨਕੂਟ,k a n k uu tt
ਕੰਨ,k a n n
ਕੰਨ,k a n n
ਕੱਨਾ,k a n n aa
ਕਾੱਨਾ,k aa n n aa
ਕੱਨਕਾਂ,k a n n k aa ng
ਕੱਨੇ,k a n n e
ਕੱਨ੍ਹਾ,k a n n h aa
ਕੰਨ੍ਹਾ,k a n n h aa
ਕੱਨੀ,k a n n ii
ਕੱਨਿਆਂ,k a n n i aa ng
ਕੱਨਿਯਾਂ,k a n n i y aa ng
ਕੱਨੀਂ,k a n n ii ng
ਕਨੋਡ,k a n o dd
ਕਨੋਡਾ,k a n o dd aa
ਕਣੋਈ,k a nn o ii
ਕਨੋਰਾ,k a n o r aa
ਕਨੋਤਰੇ,k a n o t a r e
ਕਨਸ,k a n s
ਕੰਸ,k a nn a s
ਕਣਸ,k a nn s
ਕਾਂਸ਼ੀ,k aa ng sh ii
ਕਾਂਸੀ,k aa ng s ii
ਕਾਂਸੀ,k aa ng s ii
ਕਣਸੋ,k a nn s o
ਕਣਤ,k a nn t
ਕੰਤ,k a ng t
ਕੰਥ,k a ng th
ਕਾਂਟਾ,k aa ng tt aa
ਕੰਟਕ,k a ng tt a k
ਕੰਠ,k a ng tth
ਕੰਠਾ,k a ng tth aa
ਕੰਠੀ,k a ng tth ii
ਕਾਣੂ,k aa nn uu
ਕਾਨੂਗੋ,k aa n uu g o
ਕਨੂਨ,k a n uu n
ਕਾਨੂਨ,k aa n uu n
ਕਾਨੂੰ,k a n uu ng
ਕਨੂਨਣ,k a n uu n a nn
ਕਨੂਨੀ,k a n uu n ii
ਕਨੂਣੀ,k a n uu nn ii
ਕਨੂਰੀ,k a n uu r ii
ਕੰਵਲ,k a ng v a l
ਕੰਵਰ,k a ng v a r
ਕੰਵਾਰਾ,k a ng v aa r aa
ਕੰਵਾਰੀ,k a nn v aa r ii
ਕੰਵਾਰਪੁਣਾ,k a nn v aa r p u nn aa
ਕਾਉਨੀਂ,k aa o n ii ng
ਕਪ,k a p
ਕਾਪਾ,k aa p aa
ਕਪਾਹ,k a p aa h
ਕਪਾਹੇ,k a p aa h e
ਕਪਾਹੀ,k a p aa h ii
ਕਪਾਲ,k a p aa l
ਕਪਣ,k a p a nn
ਕਪਰ,k a p a r
ਕਪਡ਼ਛਾਣ,k a p a rr ch aa nn
ਕੱਪਡ਼ਛਾਣ,ch aa nn
ਕਪਡ਼ਧਡ਼ੀ,k a p a rr dh a rr ii
ਕਪਡ਼ਧੂਲ,k a p a rr dh uu l
ਕਪਡ਼ਧੂਡ਼,k a p a rr dh uu rr
ਕਪਟ,k a p a tt
ਕਪਾਟ,k a p aa tt
ਕਪੱਤ,k a p a t t
ਕਪੱਤਾ,k a p a t t aa
ਕਪੱਤੀ,k a p a t t ii
ਕਫਣ,k a ph a nn
ਕਫਰ,k a ph a r
ਕਫਰਾ,k a ph r aa
ਕਾਪੀ,k aa p ii
ਕਪੀਣ,k a p ii nn
ਕਪਲਾ,k a p l aa
ਕੱਪਡ਼,k a p p a rr
ਕੱਪਣਾ,k a p p nn aa
ਕੱਪਡ਼ਾ,k a p p rr aa
ਕੱਪਡ਼ੇ,k a p p r e
ਕੱਪਡ਼ੀ,k a p p rr ii
ਕਪਡ਼ਹਾਨ,k a p rrh aa n
ਕਪਡ਼ਿਆਹਣ,k a p rr i aa h a nn
ਕਪਡ਼ਾਂਧ,k a p rr aa ng dh
ਕਪਡ਼ੌਈ,k a p rr O tt ii
ਕਪਡ਼ੋਟੀ,k a p rr o tt ii
ਕਾਪਡ਼ੀ,k aa p rr ii
ਕਪੂਰ,k a p uu r
ਕਪੂਰੀ,k a p uu r ii
ਕਪਟਣ,k a p tt a nn
ਕਪਟੀ,k a p tt ii
ਕਪਟੀਓ,k a p tt ii o
ਕਪੂਤ,k a p uu t
ਕਪੁੱਤ,k a p u t t
ਕਪੁੱਤ੍,k a p u t t a r
ਕਰ,k a r
ਕਡ਼,k a rr
ਕਾਰ,k aa r
ਕਡ਼ਾ,k a rr aa
ਕਾਰਾ,k aa r aa
ਕਰਾਹ,k a r aa h
ਕਡ਼ਾਹ,k a rr aa h
ਕਡ਼ਾਹਾ,k a rr aa h aa
ਕਰਾਹਾ,k a r aa h aa
ਕਰਾਹਤ,k a r aa h a t
ਕਡ਼ਾਹੀ,k a rr aa h ii
ਕਰਾਹੀ,k a r aa h ii
ਕਰਾਹਣਾ,k a r aa h nn aa
ਕਰਾਈ,k a r aa ii
ਕਡ਼ਾਈ,k a rr aa ii
ਕਰਾਇਆ,k a r aa i aa
ਕਰਾਈਂ,k a r aa ii ng
ਕਰਜ,k a r a j
ਕਾਰਜ,k aa r a j
ਕਡ਼ਕ,k a rr a k
ਕਡ਼ਾਕਾ,k a rr aa k aa
ਕਡ਼ਾਕਡ਼,k a rr aa k a rr
ਕਰਖਤ,k a r a kh t
ਕਡ਼ਕਣਾ,k a rr a k nn aa
ਕਰਮ,k a r a m
ਕਰਮਾਮਾਤ,k a r aa m aa t
ਕਮਾਮਾਤਣ,k a r aa m aa t a nn
ਕਰਾਮਾਤੀ,k a r aa m aa t ii
ਕਾਰਮਣਾ,k aa r a m nn aa
ਕਾਰਨ,k aa r a n
ਕਾਰਣ,k aa r a nn
ਕਰਾਨਾ,k a r aa n aa
ਕਰੰਡ,k a r a ng dd
ਕਰੰਡੀ,k a r a ng dd ii
ਕਰੰਗ,k a r a ng g
ਕਾਰੰਗਾ,k aa r a ng g aa
ਕਰੰਜਵਾ,k a r a ng j v aa
ਕਰਾਰ,k a r aa r
ਕਰਡ਼,k a r a rr
ਕਰਾਡ਼,k a r aa rr
ਕਰਾਰਾ,k a r aa r aa
ਕਰਡ਼ਾ,k a r a rr aa
ਕਰਡ਼ੀ,k a r a rr ii
ਕਰਸ਼ਟ,k a r a sh tt
ਕਰਸਟ,k a r a s tt
ਕਡ਼ਾਉਣਾ,k a rr aa u nn aa
ਕਰਾਉਣਾ,k a r aa u nn aa
ਕੌਂਦਾ,k a r O ng d aa
ਕਰਾਵਾ,k a r aa v aa
ਕਰਾਯਾ,k a r aa y aa
ਕਰਬ,k a r b
ਕਰਬਲਾ,k a r b a l aa
ਕਰਬਲਾਈ,k a r b a l aa ii
ਕਡ਼ਬਡ਼ਾਟ,k a rr b a rr aa tt
ਕਡ਼ਬਡ਼੍ਹਾ,k a rr b a rrh aa
ਕਰਬਡ਼੍ਹੀ,k a rr b a rrh ii
ਕਰਬਡ਼੍ਹੀ,k a r b a rr ii
ਕਰਬਤ,k a r b a t
ਕਡ਼ਛ,k a rr ch
ਕਡ਼ਛਾ,r a rr ch aa
ਕਡ਼ਛੀ,k a rr ch ii
ਕਰਦ,k a r d
ਕਰਦਨੀ,k a r d a n ii
ਕਾਰੇ,k aa r e
ਕਰੇਲਾ,k a r e l aa
ਕਰੇਡ਼ਾ,k a r e rr aa
ਕਰੇਵਾ,k a r e v aa
ਕਡ਼੍ਹ,k a r h
ਕਰਹਾ,k a r h aa
ਕਾਡ਼੍ਹਾ,k aa rrh aa
ਕਡ਼੍ਹਾਹੀ,k a rrh aa ii
ਕਰਹਲਾ,k a r h a l aa
ਕਡ਼੍ਹਾਉਣਾ,k a rrh aa u nn aa
ਕਡ਼੍ਹੀ,k a rrh ii
ਕਰਹਿਊਂ,k a r h i uu ng
ਕਡ਼੍ਹਣਾ,k a rrh nn aa
ਕਾਡ਼੍ਹਣਾ,k aa rrh nn aa
ਕਾਡ਼੍ਹਣੀ,k aa rrh nn ii
ਕਰਹੋਬਿਲਾ,k a r h o b i l aa
ਕਾਰੀ,k aa r ii
ਕਡ਼ੀ,k a rr ii
ਕਡ਼ਿਆ,k a rr i aa
ਕਰਿਆਹਣ,k a r i aa h a nn
ਕਰਿਆਂਧ,k a r i aa ng dh
ਕਡ਼ਿਆਲਾ,k a rr i aa l aa
ਕਰਿਆਨਾ,k a r i aa n aa
ਕਰਿੱਗਰ,k a r i g g a r
ਕਿ੍ੱਗਰਨ,k a r i g g a r n
ਕਰਿੱਗਰੀ,k a r i g g a r ii
ਕਡ਼ਿੱਕੀ,k a rr i k k ii
ਕਰੀਮ,k a r ii m
ਕਰਿੰਦਾ,k a r i ng d aa
ਕਰੀਂਹ,k a r ii ng h
ਕਰੀਰ,k a r ii r
ਕਰੀਡ਼,k a r ii rr
ਕਰੀਡ਼ਣਾ,k a r ii rr nn aa
ਕਰਿਸ਼ਨ,k a r i sh a n
ਕਰਿਸ਼ਨਾ,k a r i sh n aa
ਕਰਿਸਮਾ,k a r i s m aa
ਕਰੀਟਾ,k a r i tt aa
ਕਰਜ,k a r j
ਕਰਜਾ,k a r j aa
ਕਰਜਾਈ,k a r j aa ii
ਕਰਜਾਇਣ,k a r j aa i nn
ਕਰਕ,k a r k
ਕਡ਼ਕ,k a rr k
ਕਡ਼ਕਾ,k a rr k aa
ਕਰਕਨੀ,k a r k a n ii
ਕਡ਼ਕਾਰ,k a rr k aa r
ਕਡ਼ਕਾਉਣਾ,k a rr k aa u nn aa
ਕਰਕੌਣਾ,k a r k O nn aa
ਕਰਕੇ,k a r k e
ਕਰਲ,k a r l
ਕਰਲਾਉਣਾ,k a r l aa u nn aa
ਕਰਮ,k a r m
ਕਡ਼ਮਾਈ,k a rr m aa ii
ਕਰਮਣ,k a r m a nn
ਕਰਮੀ,k a r m ii
ਕਰਮੰਡਲ,k a r m a ng dd a l
ਕਰਨ,k a r n
ਕਰਨਾ,k a r n aa
ਕਡ਼ਨਾ,k a rr n aa
ਕਾਰਨਾ,k aa r n aa
ਕਰਨੀ,k a r n ii
ਕਰੋ,k a r o
ਕਰੋਧ,k a r o dh
ਕਰੋਧਣ,k a r o dh a nn
ਕਰੋਧੀ,k a r o dh ii
ਕਰੋਹ,k a r o h
ਕਰੋਹੀ,k a r o h ii
ਕਰੋਲਣਾ,k a r o l a nn aa
ਕਰੋਲਨਾ,k a r o l n aa
ਕਰੋਨਕ,k a r o n k
ਕਰੋਪ,k a r o p
ਕਰੋਪਣ,k a r o p a nn
ਕਰੋਪੀ,k a r o p ii
ਕਰੋਡ਼,k a r o rr
ਕਰੋਡ਼ਾ,k a r o rr aa
ਕਰੋਡ਼ੀ,k a r o rr ii
ਕਰਪਾਲ,k a r p aa l
ਕਰਪਾਣ,k a r p aa nn
ਕਰਡ਼ਾ,k a r rr aa
ਕੱਰਹ,k a r r a h
ਕਰਡ਼ਾਈ,k a r rr aa ii
ਕਰਸਾਣ,k a r s aa nn
ਕਰਸਾਨਣੀ,k a r s aa n a nn ii
ਕਰਸਾਣੀ,k a r s aa nn ii
ਕਾਰਸੀ,k aa r s ii
ਕਡ਼ਤ,k a rr t
ਕਰਤਾ,k a r t aa
ਕਰਤਬ,k a r t a b
ਕਰਤੱਬ,k a r t a b b
ਕਰਤਲ,k a r t a l
ਕਰਤਾਰ,k a r t aa r
ਕਰਤਾਰਥ,k a r t aa r a th
ਕਰਤਾਰੀ,k a r t aa r ii
ਕਾਰਤੂਸ,k aa r t uu s
ਕਰਤੂਤ,k a r t uu t
ਕਡ਼ੂ,k a rr uu
ਕਰੂ,k a r uu
ਕਾਰੂੰ,k aa r uu ng
ਕਰੂਨਣ,k a r uu n a nn
ਕਰੂਨੀ,k a r uu n ii
ਕਰੂੰਡੀਆ,k a r uu ng dd ii aa
ਕਰੂੰਜਡ਼ਾ,k a r uu ng j a rr aa
ਕਰੂੰਜਡ਼ੀ,k a r uu ng j a rr ii
ਕਰੂੰਜਡ਼ਪੁਣਾ,k a r uu ng j a rr p u nn aa
ਕਰੂਰ,k a r uu r
ਕਰੂਰਾ,k a r uu r aa
ਕਰਵਾ,k a r v aa
ਕਰਵਾਈ,k a r v aa ii
ਕਰਵਾਲ,k a r v aa l
ਕਰਵਾਨ,k a r v aa n
ਕਰਵਾਨਣੀ,k a r v aa n a nn ii
ਕਰਵਾਨੀ,k a r v aa n ii
ਕਰਵਾਰ,k a r v aa r
ਕਰਵਤ,k a r v a t
ਕਰਵੱਤ੍,k a r v a t t a r
ਕਰਵਾਉਣਾ,k a r v aa u nn aa
ਕਰਵੀਲਾ,k a r v ii l aa
ਕਰਵੀਲੂੰ,k a r v ii l uu ng
ਕਸ,k a s
ਕਾਸ,k aa s
ਕਸਬ,k a s a b
ਕਸਦ,k a s a d
ਕਸਾਈ,k a s aa ii
ਕਸਾਇਣ,k a s aa i nn
ਕਸੈਲਾ,k a s E l aa
ਕਾਸਕ,k aa s a k
ਕਸਾਲਾ,k a s aa l aa
ਕਸਮ,k a s a m
ਕਸਾਂ,k a s aa ng
ਕਸਾਂਦਾ,k a s aa ng d aa
ਕਸੱਪਣ,k a s a p p a nn
ਕਸਾਰ,k a s aa r
ਕਸਰ,k a s a r
ਕਸਰਾਧਾ,k a s a r aa dh aa
ਕਸਾਉ,k a s aa u
ਕਸਾਉਟ,k a s aa u tt
ਕਸਾਵਟ,k a s aa v a tt
ਕਸਾਉਣਾ,k a s aa u nn aa
ਕਸੌਟੀ,k a s O tt ii
ਕਸਬਾ,k a s b aa
ਕਸਬਣ,k a s b a nn
ਕਸਬੀ,k a s b ii
ਕਸਬਾਤਣ,k a s b aa t a nn
ਕਸਬਾਤੀ,k a s b aa t ii
ਕਾਸਬੀ,k aa s b ii
ਕਾਸੇ,k aa s e
ਕਸੇਰ,k a s e r
ਕਸੇਰਾ,k a s e r aa
ਕਸ਼ਾ,k u sh aa
ਕਸ਼ਮੀਰ,k a sh m ii r
ਕਸਮੀਰ,k a s m ii r
ਕਸ਼ਮੀਰਣ,k a sh m ii r a nn
ਕਸਮੀਰਣ,k a s m ii r a nn
ਕਸ਼ਮੀਰੀ,k a sh m ii r ii
ਕਸਮੀਰੀ,k a s m ii r ii
ਕਸ਼ਪ,k a sh a p
ਕਸਪ,k a s a p
ਕਾਸ਼ਣੀ,k aa sh ng ii
ਕਸ਼ਟ,k a sh tt
ਕਾਸ਼ਟ,k aa sh tt
ਕਸ਼ਟਣੀ,k a sh tt a nn ii
ਕਾਸੀ,k aa s ii
ਕਸੀ,k a s ii
ਕਸਿਆ,k a s i aa
ਕਸਿਆਣਾ,k a s i aa nn aa
ਕਸਿਆਉਣਾ,k a s i aa u nn aa
ਕਸੀਦਾ,k a s ii d aa
ਕਸੀਰਾ,k a s ii r aa
ਕਸੀਸ,k a s ii s
ਕਸਕਾਸ,k a s k aa s
ਕਸਕਸਾ,k a s k a s aa
ਕਸਕਾਸੀ,k a s k aa s ii
ਕਸਕੱਸੀ,k a s k a s s ii
ਕਸਲਾਨਾ,k a s l aa n aa
ਕਸਮਲ,k a s m a l
ਕਸਣਾ,k a s nn aa
ਕਾਸਣੀ,k aa s nn ii
ਕਸੋਟਾ,k a s o tt aa
ਕਸੋਟੀ,k a s o tt ii
ਕਸਰੀ,k a s r ii
ਕੱਸ,k a s s
ਕੱਸਾ,k a s s aa
ਕਾੱਸਾ,k aa s s aa
ਕੱਸੀ,k a s s ii
ਕੱਸਣਾ,k a s s nn aa
ਕਸਟ,k a s tt
ਕਸਤ,k a s t
ਕਾਸਟ,k aa s tt
ਕਸਟਣੀ,k a s tt a nn ii
ਕਾਸਟੀ,k aa s tt ii
ਕਾਸਤੀ,k aa s t ii
ਕਸਤੂਰਾ,k a s t uu r aa
ਕਸਤੂਰੀ,k a s t uu r ii
ਕਾਸੂ,k aa s uu
ਕਸੂਰ,k a s uu r
ਕਸੂਰੀਆ,k a s uu r ii aa
ਕਸੂਤ,k a s uu t
ਕਸੂਤਾ,k a s uu t aa
ਕਸਵਾਈ,k a s v aa ii
ਕਸਵਾਉਣੀ,k a s v aa u nn aa
ਕਸਯਾਣਾ,k a s y aa nn aa
ਕਟ,k a tt
ਕਾਤ,k aa t
ਕਾਟ,k aa tt
ਕਤਾ,k a t aa
ਕਤਾਬ,k a t aa b
ਕਾਤਬ,k aa t a b
ਕਤਾਬਣ,k a t aa b a nn
ਕਤਾਬੀ,k a t aa b ii
ਕਤਾਬੀਆ,k a t aa b ii aa
ਕਤਾਬੀ,k a t aa b ii
ਕਾਤਬੀ,k a t a b ii
ਕਟਹਿਡ਼ਾ,k a tt a h i rr aa
ਕਟਾਈ,k a tt aa ii
ਕਤਾਈ,k a t aa ii
ਕਾਤਕ,k aa t a k
ਕਟਕ,k a tt a k
ਕਟਾਖ,k a tt aa kh
ਕਾਤਕੀ,k aa t a k ii
ਕਾਤਲ,k aa t a l
ਕਤਾਨ,k a t aa n
ਕਤਨ,k a t a n
ਕਾਤਰ,k aa t a r
ਕਤਾਰ,k a t aa r
ਕਟਾਰ,k a tt aa r
ਕਟਾਰਾ,k a tt aa r aa
ਕਟਾਰੀ,k a tt aa r ii
ਕਟਾਰੀਆ,k a tt aa r ii aa
ਕਤਰਨਾ,k a t a r n aa
ਕਤਰਨੀ,k a t a r n ii
ਕਟਾਉ,k a tt aa u
ਕਟਾਊ,k a tt aa uu
ਕਟਾਉਣਾ,k a tt aa u nn aa
ਕਤਾਉਣਾ,k a t aa u nn aa
ਕਟਾਵਟ,k a tt aa v a nn
ਕਤੇਬ,k a t e b
ਕਤੇਬਣ,k a t e b a nn
ਕਤੇਬੀ,k a t e b ii
ਕਤੇਬੀਆ,k a t e b ii aa
ਕਤੇਬੀ,k a t e b ii
ਕਟੇਲਾ,k a tt e l aa
ਕਾਠ,k aa tth
ਕਥ,k a th
ਕਥਾ,k a th aa
ਕਥਲ,k a th a l
ਕਠਣ,k a tth a nn
ਕਥੇਰ,k a th e r
ਕਾਠੀ,k aa th ii
ਕਾਠੀਆ,k aa tth ii aa
ਕਥਣਾ,k a th nn aa
ਕਠਨਾਈ,k a tth n aa ii
ਕਠਨਊ,k a tth n a uu
ਕਥਣੀ,k a th nn ii
ਕਠੋਰ,k a tth o r
ਕਾਠਡ਼ਾ,k aa tth rr aa
ਕਾਠਡ਼ੀ,k aa tth rr ii
ਕਾਠਯਾਵਾਡ਼,k aa tth y aa v aa rr
ਕਤੀ,k a t ii
ਕਟੀਲਾ,k a tt ii l aa
ਕਤਿੰਹ,k a t i ng h
ਕਤੀਰਾ,k a t ii r aa
ਕਤਲ,k a t l
ਕਤਲਾ,k a t l aa
ਕਤਲਾਮ,k a t l aa m
ਕਾਟੋ,k aa tt o
ਕਟੋਚ,k a tt o c
ਕਟੋਰਾ,k a tt o r aa
ਕਟੋਰੀ,k a tt o r ii
ਕਟੋਰਦਾਨ,k a tt o r d aa n
ਕਟਡ਼ਾ,k a tt rr aa
ਕਤਾ੍,k a t r aa
ਕਤਰਾਈ,k a t r aa ii
ਕਤਾ੍ਤ,k a t r aa t
ਕਤਾ੍ਉਣਾ,k a t r aa u nn aa
ਕਟਡ਼ੀ,k a tt rr ii
ਕੱਟ,k a tt tt
ਕੱਤ,k a t t
ਕੱਤਾ,k a t t aa
ਕੱਟਾ,k a tt tt aa
ਕੱਤਕ,k a t t a k
ਕੱਤੇਂ,k a t t e ng
ਕੱਤਰ,k a t t a r
ਕੱਟਡ਼,k a tt tt a rr
ਕੱਥ,k a t th
ਕੱਥਾ,k a t th aa
ਕੱਠ,k a tt tth
ਕੱਠਾ,k a tt tth aa
ਕਾੱਠਾ,k aa tt tth aa
ਕੱਥਕ,k a t th a k
ਕਾੱਠੀ,k aa tt tth ii
ਕੱਥੀ,k a t th ii
ਕਾੱਠੂ,k aa tt tth uu
ਕੱਟੀ,k a tt tt ii
ਕੱਟਣਾ,k a tt tt nn aa
ਕੱਤਣਾ,k a t t nn aa
ਕੱਤਣੀ,k a t t nn ii
ਕੱਟਣੀ,k a tt tt nn ii
ਕੱਟੂ,k a tt tt uu
ਕਟੂ,k a tt uu
ਕਟੂਆ,k a tt uu aa
ਕਤੂੰਗਡ਼ਾ,k a t uu ng g a rr aa
ਕਟਵਾਈ,k a tt v aa ii
ਕਟਵਾਉਣਾ,k a tt v aa u nn aa
ਕਊਂ,k a uu
ਕਾਊ,k aa uu
ਕਊਆ,k a uu aa
ਕੌਚ,k O c
ਕੌਡ,k O dd
ਕਊਡ,k O dd
ਕੌਡਾ,k O dd aa
ਕਉਡਾ,k O dd aa
ਕੌਡੀ,k O dd ii
ਕੌਡੀਆ,k O dd ii aa
ਕੌਡਿਆਲਾ,k O dd i aa l aa
ਕੌਹਰ,k O h a r
ਕੌਲ,k O l
ਕੌਲ੍ਹਾ,k O l aa
ਕੌਲ੍ਹਰ,k O l h a r
ਕੌਲੀ,k O l ii
ਕੌਣ,k O nn
ਕਾਓਂ,k aa u ng
ਕੌਂਚ,k O ng c
ਕੌਂਦ,k O ng d
ਕਾਉਣੀ,k aa u nn ii
ਕੌਂਣੀ,k O nn ii
ਕੌਂਸਲ,k O ng s a l
ਕੌਂਸਲੀਆ,k O ng s a l ii aa
ਕੌਂਤ,k O ng t
ਕੌਂਤਕ,k u ng t a k
ਕੌਫ,k O ph
ਕੌਰ,k O r
ਕਉਰ,k O r
ਕੌਡ਼,k O rr
ਕਉਡ਼,k O rr
ਕਾਉਡ਼,k aa u rr
ਕੌਡ਼ਾ,k O rr aa
ਕੌਡ਼ੀ,k O rr ii
ਕੌਰਾ,k O r aa
ਕੌਡ਼ੱਤਣ,k O rr a t t a nn
ਕੌਰਿਆਲਾ,k O r i aa l aa
ਕੌਰੀ,k O r ii
ਕਉਡ਼ਣਾ,k O rr nn aa
ਕੌਡ਼ਣਾ,k O rr nn aa
ਕਾਉਡ਼ਣਾ,k aa u rr nn aa
ਕੌਸਲੀਆ,k O s l ii aa
ਕੌਤਕ,k O t a k
ਕੌਥ,k O th
ਕੌਥਾ,k O th aa
ਕੌਥੀ,k O th ii
ਕਾਵਾ,k aa v aa
ਕਵਾਈ,k a v aa ii
ਕਵਾਲ,k a v aa l
ਕਵਾਲੀ,k a v aa l ii
ਕਾਵਡ਼,k aa v a rr
ਕਵਾਡ਼ੀਆ,k a v aa rr ii aa
ਕਵਾਡ਼,k a v aa rr
ਕਵਾਡ਼ਾ,k a v aa rr aa
ਕਵਾਰ,k a v aa r
ਕਵਾਰਾ,k a v aa r aa
ਕਵਾਰੀ,k a v aa r ii
ਕਵਰਗੰਦਲ,g a ng d a l
ਕਵਾਡ਼ੀ,k a v aa rr ii
ਕਵਿ,k a v i
ਕਵੀ,k a v ii
ਕਵਿਦ,k a v i d
ਕਵਿਤਾ,k a v i t aa
ਕਵਿਤਾਈ,k a v i t aa ii
ਕਾਯ,k aa y
ਕਾਯਾ,k aa y aa
ਕਾਯਕ,k aa y a k
ਕਾਯਾਂ,k aa y aa ng
ਕਾਯਫਲ,k aa y ph a l
ਕੇ,k e
ਕੇਡ,k e dd
ਕੇਡਾ,k e dd aa
ਕੇਡੀ,k e dd ii
ਕੇਦਾਰ,k e d aa r
ਕੇਡੇਂ,k e dd e ng
ਕੇਹ,k e h
ਕੇਹਰ,k e h a r
ਕੇਹਰੀ,k e h a r ii
ਕੇਜਿਹਾਂ,k e j i h aa ng
ਕੇਕੋਂ,k e k o ng
ਕੇਲਾ,k e l aa
ਕੇਲੋ,k e l o ng
ਕੇਨ,k e n
ਕੇਨਾ,k e n aa
ਕੇਰਾ,k e r aa
ਕੇਡ਼੍ਹਾ,k e rrh aa
ਕੇਡ਼੍ਹੀ,k e rrh ii
ਕੇਰੀ,k e r ii
ਕੇਰਣਾ,k e r nn aa
ਕੇਸ,k e s
ਕੇਸਾਦਾਰੀ,k e s aa dh aa r ii
ਕੇਸਾਂਦਾਰੀ,k e s aa ng dh aa r ii
ਕਸਾਦਾਰੀ,k e s aa k e s ii
ਕੇਸਾਂਕੇਸੀ,k e s aa ng k e s ii
ਕੇਸਰ,k e s a r
ਕੇਸਰੀ,k e s a r ii
ਕੇਸਰੀਯਾ,k e s a r ii y aa
ਕੇਸਰਯਾ,k e s a r y aa
ਕੇਂਸੂ,k e s uu
ਕੇਤਕੀ,k e t a k ii
ਕੇਤਲ,k e t a l
ਕੇਤਲੀ,k e t a l ii
ਕੇਊ,k e uu
ਕੇਉਡ਼ਾ,k e u rr aa
ਕੇਵਡ਼ਾ,k e v rr aa
ਕੇਵਲ,k e v a l
ਕੇਵਰ,k e v a r
ਖਾਬ,kh aa b
ਖਾਬਨ,kh aa b a n
ਖਬਰ,kh a b a r
ਖੱਬ,kh a b b
ਖੱਬਾ,kh a b b aa
ਖੱਬੀ,kh a b b ii
ਖੱਬਲ,kh a b b a l
ਖੱਭਲ,kh a b bh a l
ਖੱਬਡ਼,kh a b b a rr
ਖੱਭਡ਼,kh a b bh a rr
ਖੱਭ,kh a b bh
ਖੱਭੀ,kh a b bh ii
ਖੱਭਲੀ,kh a b bh l ii
ਖਭਡ਼ਾ,kh a bh rr aa
ਖਭਡ਼ੀ,kh a bh rr ii
ਖਬਚੂ,kh a b c uu
ਖੱਬੂ,kh a b b uu
ਖਬੀਲ,kh a b ii l
ਖਬੀਸ,kh a b ii s
ਖਬੀਸਣੀ,kh a b ii s nn ii
ਖਾਬਰੂ,kh aa b r uu
ਖਬਰੂ,kh a b r uu
ਖਰਚ,kh a c a r
ਖਰਚਾਊ,kh a c a r a uu
ਖਰਚਪੌਂ,kh a c a r p O ng
ਖਰਚਪੁਣਾ,kh aa c a r p u nn aa
